B17001_002E,state,place,year
0,51,68480,2020
804,51,68496,2020
956,51,68880,2020
2,54,10852,2020
356,54,10876,2020
177,54,10948,2020
782,54,11188,2020
105,54,11212,2020
128,54,11284,2020
0,54,11620,2020
39,54,11716,2020
123,54,12124,2020
22,54,12436,2020
100,54,12484,2020
115,54,13108,2020
0,54,13468,2020
66,54,13525,2020
9,54,13684,2020
92,54,13756,2020
99,54,13924,2020
0,54,14212,2020
122,54,14308,2020
207,54,14524,2020
9031,54,14600,2020
654,54,14610,2020
19,54,14630,2020
157,54,14692,2020
24,54,14716,2020
606,54,14775,2020
452,54,14812,2020
513,54,15028,2020
182,54,15076,2020
3595,54,15628,2020
435,54,15676,2020
19,54,15916,2020
106,54,16012,2020
16,54,16132,2020
423,54,16516,2020
211,54,16612,2020
0,54,16972,2020
0,54,17140,2020
15,54,17380,2020
58,54,17836,2020
535,54,10420,2020
0,54,18124,2020
0,54,18388,2020
260,54,18412,2020
597,54,18508,2020
422,54,18604,2020
111,54,19060,2020
796,54,19108,2020
0,54,19300,2020
94,54,19324,2020
23,54,19492,2020
287,54,19516,2020
16,54,19588,2020
39,54,19948,2020
356,54,20164,2020
608,55,56925,2020
2,55,57000,2020
96,55,57008,2020
51,55,57050,2020
463,55,57100,2020
184,55,57325,2020
28,55,57375,2020
10,55,57700,2020
772,55,58000,2020
106,55,58025,2020
106,55,58050,2020
5,55,58100,2020
17,55,58375,2020
104,55,58400,2020
212,55,58575,2020
1876,55,58800,2020
32,55,58850,2020
124,55,58900,2020
1115,55,59250,2020
0,55,59300,2020
521,55,59350,2020
502,55,59400,2020
10,55,59450,2020
13,55,59475,2020
11,55,59500,2020
111,55,59650,2020
15,55,59800,2020
53,55,59875,2020
838,55,59925,2020
74,55,60075,2020
121,55,60100,2020
692,55,60200,2020
147,55,60250,2020
350,55,60450,2020
10174,55,60500,2020
138,55,60575,2020
134,55,60825,2020
120,55,60875,2020
27,55,60912,2020
10,55,60950,2020
212,55,60975,2020
183,55,61025,2020
125,55,61100,2020
532,55,61200,2020
28,55,61325,2020
17,55,61425,2020
12,55,61675,2020
20,55,61750,2020
13,55,61800,2020
73,55,61925,2020
486,55,62175,2020
333,55,62240,2020
324,55,62250,2020
383,55,62450,2020
29,55,62675,2020
25,55,62975,2020
81,48,06104,2020
13042,48,06128,2020
21,48,06140,2020
111,48,06200,2020
17,48,06242,2020
0,48,06244,2020
172,48,06272,2020
21516,48,07000,2020
25,48,07036,2020
10,48,07042,2020
273,48,07108,2020
3031,48,07132,2020
83,48,07144,2020
350,48,07156,2020
3355,48,07192,2020
347,48,07300,2020
79,48,07396,2020
2296,48,07408,2020
232,48,07420,2020
358,48,07432,2020
118,48,07486,2020
3423,48,07492,2020
0,48,07516,2020
297,48,07528,2020
88,48,07540,2020
1236,48,07552,2020
10,48,07636,2020
118,48,07642,2020
142,48,07708,2020
90,48,07852,2020
209,48,07864,2020
400,48,08104,2020
44,48,08128,2020
139,48,08164,2020
403,48,08212,2020
256,48,08224,2020
4581,48,08236,2020
183,48,08240,2020
391,48,08260,2020
832,48,08392,2020
3,48,08398,2020
5,48,08404,2020
212,48,08410,2020
23,48,08488,2020
250,48,08536,2020
16,48,08596,2020
96,48,08644,2020
180,48,08668,2020
20,48,08752,2020
94,48,08788,2020
216,48,08800,2020
188,48,08812,2020
0,48,08830,2020
174,48,08860,2020
194,48,08872,2020
198,48,08908,2020
0,48,08932,2020
100,48,09004,2020
1039,48,09160,2020
179,48,46968,2020
85,48,47004,2020
148,48,47016,2020
1342,48,47040,2020
198,48,47088,2020
419,48,47100,2020
10,48,47172,2020
48,48,47268,2020
7,48,47316,2020
5,48,47330,2020
112,48,47337,2020
2172,48,47406,2020
24,48,47460,2020
150,48,47496,2020
52,48,47568,2020
497,48,47616,2020
216,48,47628,2020
0,48,47676,2020
4220,48,47700,2020
320,48,47760,2020
462,48,47796,2020
22,48,47820,2020
151,48,47832,2020
17248,48,47892,2020
121,48,47898,2020
2160,48,47916,2020
83,48,47988,2020
0,48,48048,2020
13110,48,48072,2020
1920,48,48096,2020
114,48,48180,2020
1031,48,48272,2020
564,48,48280,2020
114,48,48315,2020
523,48,48318,2020
2456,48,48320,2020
535,48,48324,2020
54,48,48336,2020
30,48,48372,2020
86,48,48396,2020
152,48,48408,2020
0,48,46854,2020
24,48,48478,2020
70,48,48564,2020
806,48,48648,2020
2289,48,48684,2020
51,48,48720,2020
290,48,48750,2020
106,48,48756,2020
16285,48,48768,2020
4591,48,48772,2020
4186,48,48804,2020
2,48,48852,2020
94,48,48858,2020
987,48,48936,2020
18,48,49032,2020
489,48,49068,2020
586,48,49080,2020
174,48,49128,2020
25,40,30400,2020
134,40,30500,2020
68,40,30600,2020
0,40,30750,2020
253,40,30850,2020
62,40,30900,2020
264,40,30915,2020
155,40,30950,2020
68,40,31000,2020
18,40,31150,2020
33,40,31165,2020
64,40,31250,2020
21,40,31375,2020
60,40,31425,2020
1165,40,31600,2020
1974,40,31700,2020
3228,40,31750,2020
159,40,31900,2020
16,40,32050,2020
148,40,32250,2020
48,40,32350,2020
0,40,32400,2020
12,40,32550,2020
685,40,32750,2020
352,40,32850,2020
330,40,32900,2020
12,40,33000,2020
128,40,33150,2020
18,40,33250,2020
20,40,33300,2020
463,40,33350,2020
1065,40,33400,2020
34,40,33450,2020
25,40,33600,2020
0,40,33650,2020
491,40,33700,2020
1274,40,33750,2020
19,40,34150,2020
0,40,34650,2020
142,40,34750,2020
10,40,34850,2020
8,40,34900,2020
1350,40,35000,2020
26,40,35030,2020
16,40,35150,2020
18,40,35300,2020
920,40,35400,2020
349,40,35500,2020
10,40,35550,2020
0,40,35800,2020
629,40,35850,2020
20,40,35875,2020
209,40,36000,2020
0,40,36020,2020
8,40,36050,2020
13,40,36090,2020
0,40,36115,2020
208,40,36150,2020
0,41,78300,2020
988,41,78600,2020
188,41,78800,2020
312,41,78900,2020
58,41,78950,2020
28,41,79050,2020
18,41,79500,2020
36,41,79950,2020
559,41,80025,2020
