B15003_017E,state,place,year
16028,17,23074,2019
7210,17,06613,2019
14778,16,56260,2019
14710,12,70600,2019
16200,12,43975,2019
,12,36950,2019
16769,25,34550,2019
18570,25,09000,2019
34949,27,43000,2019
11655,06,08786,2019
13585,06,68084,2019
13960,06,00884,2019
6306,23,60545,2019
15462,20,53775,2019
13764,20,52575,2019
13918,18,40788,2019
18329,22,40735,2019
13945,08,83835,2019
,12,49675,2019
7116,17,57225,2019
24942,13,49008,2019
,13,72122,2019
12127,26,88940,2019
13327,06,36448,2019
15439,06,50076,2019
10989,06,14218,2019
8144,06,13014,2019
56176,22,55000,2019
56419,20,79000,2019
,12,76582,2019
,12,58350,2019
17198,12,39550,2019
33838,12,45975,2019
14410,09,50370,2019
21374,09,37000,2019
13620,09,55990,2019
12202,28,29700,2019
,27,51730,2019
37617,22,05000,2019
31367,12,24000,2019
,12,75812,2019
19622,12,17200,2019
,17,24582,2019
8287,17,70122,2019
27950,26,84000,2019
12413,26,74900,2019
18169,26,29000,2019
18238,06,52526,2019
24293,18,22000,2019
16015,18,27000,2019
8132,21,08902,2019
16761,24,81175,2019
,08,07850,2019
15992,08,03455,2019
16512,12,60950,2019
14278,12,07875,2019
,12,71625,2019
10054,27,06382,2019
,06,69112,2019
7871,06,70000,2019
13299,06,73080,2019
18745,06,84200,2019
28836,06,29000,2019
,06,39248,2019
5731,06,86832,2019
12262,06,69196,2019
6580,06,69070,2019
20133,06,19766,2019
35276,06,30000,2019
24169,06,55156,2019
,06,60018,2019
34766,22,70000,2019
13140,22,39475,2019
50024,08,04000,2019
155037,12,35000,2019
26088,16,08830,2019
,16,52120,2019
149,40,24200,2020
50,40,24300,2020
18,40,24460,2020
34,40,24500,2020
641,40,24650,2020
53,40,24762,2020
290,40,24850,2020
196,40,24875,2020
238,40,24900,2020
36,40,24950,2020
20,40,25000,2020
466,40,25100,2020
1,40,25250,2020
93,40,25400,2020
75,40,25450,2020
18,40,25650,2020
24,40,25700,2020
34,40,25850,2020
0,40,26000,2020
7,40,26200,2020
48,40,26250,2020
255,40,26350,2020
112,40,26415,2020
24,40,26525,2020
19,40,26750,2020
196,40,26850,2020
78,40,26900,2020
174,40,27100,2020
110,40,27150,2020
840,40,27200,2020
74,40,27350,2020
156,40,27400,2020
40,40,27450,2020
77,40,27500,2020
26,40,27550,2020
140,40,27600,2020
43,40,27650,2020
715,40,27800,2020
76,40,27850,2020
8,40,27900,2020
117,40,28250,2020
73,40,28350,2020
179,40,28500,2020
50,40,28700,2020
5,40,28800,2020
205,40,28900,2020
43,40,28950,2020
266,40,29100,2020
16,40,29150,2020
17,40,29300,2020
146,40,29400,2020
1997,40,29600,2020
27,40,29800,2020
332,40,29850,2020
49,40,29900,2020
59,40,30200,2020
383,40,30300,2020
47,40,30350,2020
63,41,66200,2020
7,41,66385,2020
570,41,66550,2020
4,41,66700,2020
44,41,66900,2020
1040,41,67050,2020
1470,41,67100,2020
209,41,67500,2020
0,41,67600,2020
1599,41,67650,2020
307,41,67950,2020
66,41,68550,2020
223,41,68875,2020
18,41,69387,2020
0,41,69400,2020
48,41,69450,2020
9974,41,69600,2020
160,41,69800,2020
398,41,69900,2020
1576,41,70200,2020
445,41,70700,2020
36,41,70850,2020
25,41,70870,2020
42,41,71000,2020
222,41,71250,2020
1988,41,71650,2020
177,41,71800,2020
2217,41,71950,2020
43,41,72400,2020
544,41,72500,2020
169,41,72600,2020
272,41,72800,2020
0,41,72820,2020
2562,41,72950,2020
647,41,73225,2020
5467,41,73650,2020
876,41,73700,2020
524,41,74000,2020
252,41,74400,2020
72,41,74550,2020
151,41,66150,2020
819,41,74650,2020
2269,41,74850,2020
2382,41,74950,2020
69,41,75050,2020
299,41,75150,2020
51,41,75185,2020
23,41,75500,2020
81,41,75550,2020
240,41,75600,2020
976,41,75650,2020
327,41,75850,2020
19,41,76250,2020
267,41,76600,2020
546,41,77050,2020
476,41,77250,2020
395,41,78000,2020
128,41,78150,2020
10,41,78160,2020
139,42,36592,2020
255,42,36616,2020
395,42,36640,2020
62,42,36712,2020
485,42,36768,2020
953,42,36816,2020
75,42,36888,2020
1057,42,36904,2020
454,42,36944,2020
660,42,37000,2020
461,42,37008,2020
153,42,37016,2020
70,42,37024,2020
0,42,37136,2020
226,42,37192,2020
844,42,37208,2020
99,42,37304,2020
67,42,37496,2020
27,42,37544,2020
183,42,37552,2020
1087,42,37584,2020
547,42,37640,2020
149,42,37656,2020
141,42,37696,2020
67,42,37728,2020
2448,42,37784,2020
146,42,37792,2020
53,42,37880,2020
191,42,37944,2020
1739,42,37955,2020
432,42,38000,2020
472,42,38048,2020
500,42,38096,2020
190,42,38104,2020
1219,42,38128,2020
47,42,38152,2020
927,42,38160,2020
1267,42,38200,2020
216,42,38240,2020
699,42,38248,2020
4976,42,38288,2020
36,42,38392,2020
558,42,38400,2020
10,42,38514,2020
13,42,38528,2020
192,42,38632,2020
163,42,38640,2020
1056,42,38688,2020
286,42,38744,2020
92,42,38768,2020
152,42,39056,2020
28,42,39224,2020
650,42,39256,2020
381,42,39272,2020
359,42,75568,2020
547,42,75574,2020
133,42,75584,2020
210,42,75648,2020
782,42,75664,2020
384,42,75712,2020
51,42,75728,2020
1309,42,75816,2020
1620,42,75832,2020
319,42,75888,2020
99,42,75936,2020
71,42,75944,2020
55,42,75968,2020
1760,42,76032,2020
1480,42,76104,2020
284,42,76144,2020
1671,42,76184,2020
53,42,76232,2020
1289,42,76304,2020
337,42,76320,2020
105,42,76336,2020
313,42,76400,2020
165,42,76432,2020
499,42,76440,2020
64,42,76496,2020
271,42,76536,2020
467,42,76552,2020
34,42,76560,2020
588,42,76584,2020
214,42,76632,2020
978,42,76648,2020
293,42,76696,2020
183,42,76724,2020
53,42,76744,2020
219,42,76808,2020
238,42,76848,2020
97,42,76880,2020
1433,42,76904,2020
116,42,77016,2020
708,42,77104,2020
217,42,77144,2020
671,42,77163,2020
699,42,77168,2020
362,42,77184,2020
65,42,77232,2020
752,42,77272,2020
739,42,77288,2020
563,42,77304,2020
723,42,77335,2020
595,42,77392,2020
371,42,77424,2020
666,42,77448,2020
863,42,77456,2020
367,42,77488,2020
1334,42,77520,2020
5,46,21340,2020
30,46,21380,2020
460,46,21540,2020
63,46,21820,2020
0,46,22070,2020
31,46,22100,2020
570,46,22260,2020
196,46,22340,2020
37,46,22580,2020
54,46,22860,2020
267,46,23020,2020
19,46,23140,2020
32,46,23220,2020
0,46,23421,2020
15,46,23460,2020
245,46,23820,2020
103,46,23860,2020
86,46,23900,2020
56,46,23980,2020
278,46,24260,2020
12,46,24540,2020
77,46,24620,2020
0,46,24760,2020
39,46,24820,2020
0,46,25020,2020
0,46,25741,2020
0,46,25743,2020
0,46,25900,2020
148,46,26035,2020
0,46,26150,2020
258,46,26180,2020
21,46,26220,2020
354,46,26340,2020
0,46,26660,2020
916,46,27260,2020
0,46,27300,2020
31,46,27420,2020
510,46,27540,2020
82,46,27820,2020
38,46,27940,2020
82,46,27980,2020
145,46,28140,2020
118,46,28300,2020
99,46,28340,2020
30,46,28420,2020
2,46,28460,2020
255,46,28980,2020
71,46,29100,2020
0,46,29116,2020
0,46,29300,2020
0,46,29340,2020
20,46,29500,2020
22,46,30056,2020
60,46,30140,2020
828,46,30220,2020
784,49,18910,2020
53,49,19020,2020
69,49,19680,2020
3511,49,20120,2020
414,49,20340,2020
22,49,20450,2020
34,49,20780,2020
2447,49,20810,2020
208,49,20850,2020
281,49,20890,2020
4,49,21880,2020
96,49,21990,2020
0,49,22210,2020
356,49,22370,2020
57,49,22540,2020
194,49,22650,2020
291,49,22760,2020
68,49,22870,2020
60,49,22875,2020
772,49,23200,2020
27,49,23310,2020
298,49,23420,2020
566,49,23530,2020
316,49,23640,2020
173,49,23750,2020
179,49,24080,2020
23,49,24410,2020
342,49,24630,2020
1722,49,24740,2020
965,49,24850,2020
35,49,25070,2020
254,49,25180,2020
143,49,25290,2020
398,49,25510,2020
15,49,25910,2020
34,49,26610,2020
232,49,26720,2020
202,49,26940,2020
0,49,27270,2020
285,49,27490,2020
9,49,27902,2020
215,49,18140,2020
42,49,27930,2020
458,49,28150,2020
197,49,28810,2020
65,49,29360,2020
97,49,29580,2020
156,49,30130,2020
23,49,30900,2020
1415,49,31120,2020
118,49,31670,2020
933,49,32660,2020
62,49,33002,2020
0,49,33027,2020
35,49,33100,2020
1063,49,33540,2020
16,49,33760,2020
1978,49,34200,2020
531,49,34530,2020
30,51,60296,2020
30,51,60392,2020
14,51,60488,2020
501,51,60512,2020
0,51,60536,2020
188,51,60680,2020
0,51,60840,2020
214,51,60888,2020
